"Row","Identifier_1","n","d13C/12C","dC_STDEV","d18O/16O","dO_STDEV","dC_corrected","dO_corrected","dC_mean_intercept","dC_mean_slop","dO_mean_intercept","dO_mean_slop"
3,"IAEA-603",5,3.115,0.037049966261793,-2.9514,0.0389558724712976,2.40047450284408,-2.28421925838307,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
4,"TK-20",6,-7.74866666666667,0.0257962098852611,-7.01866666666667,0.0520740925135629,-8.41997550487973,-6.50091214729548,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
5,"IAEA-CO-8",6,-5.07816666666667,0.0269931061157804,-22.5955,0.0405353754968013,-5.76009899796435,-22.6500185943214,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
6,"s1",6,-4.73633333333333,0.0506423187111771,-6.98166666666667,0.0756023221277702,-5.4196255088747,-6.46255281419141,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
7,"s2",5,-5.8558,0.0233567977257157,-6.9812,0.0278556995963125,-6.53463883482173,-6.46206900278289,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
8,"s3",5,-6.1564,0.0332018071797303,-7.0948,0.0494301527410143,-6.83404302054678,-6.57984252279972,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
9,"s4",6,-6.60466666666667,0.0405829739888266,-7.3245,0.0619788942571045,-7.28052644144172,-6.81798140966473,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
10,"s5",6,-6.33983333333333,0.0355184615532699,-7.33083333333333,0.0597809427084512,-7.01674663931425,-6.8245474216375,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
11,"s6",6,-6.13383333333333,0.0252367677099197,-7.25466666666667,0.046222409187656,-6.81156612614272,-6.74558248817552,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
12,"s7",6,-5.5495,0.0255013071560394,-7.32983333333333,0.0465140958324583,-6.22955732421765,-6.82351068290496,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
13,"s8",6,-5.79166666666667,0.0312385089984212,-7.70916666666667,0.0495677426469181,-6.4707606297502,-7.21678024211609,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
14,"s9",6,-6.4065,0.0262954368664983,-7.8565,0.0372556483413365,-7.08314809988756,-7.36952641537735,-0.702133742443853,0.996021908599657,0.775611436842899,1.03673873254251
15,"HuL",6,2.98233333333333,0.051732431263613,-11.5203333333333,0.0594388574736911,2.28719225159637,-11.0467112703131,-0.69861864832192,1.00116605563372,1.0525139351289,1.05024957658419
