"Row","Identifier_1","n","d13C/12C","dC_STDEV","d18O/16O","dO_STDEV","dC_corrected","dO_corrected","dC_mean_intercept","dC_mean_slop","dO_mean_intercept","dO_mean_slop"
34,"S24",6,-5.637,0.0249319072675959,-5.86466666666667,0.0453656747381149,-6.32347978885756,-4.94755308500839,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
35,"S25",6,-8.05216666666667,0.0313128479133477,-5.6785,0.0487679881342943,-8.76318977600384,-4.75067390590816,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
36,"S26",6,-8.28583333333333,0.0336020006018161,-6.17766666666667,0.062576175800202,-8.99923100172871,-5.2785639161187,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
37,"HuL",6,2.91066666666667,0.0392153598025627,-11.554,0.0491914626739233,2.31104967086118,-10.9642654017185,-0.629195668695975,1.01016216430044,1.25458169939509,1.05754259140675
38,"NTUGK2208",5,3.829,0.03001166439903,-13.1344,0.0386246035578358,3.15972283125509,-12.6302641352008,-0.687636558161057,1.00479482617293,1.36928043267215,1.06586860213432
39,"S27",6,-7.9745,0.0435084283022649,-6.2255,0.0863522823477566,-8.71601195104431,-5.20341939642241,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
40,"S28",3,-8.91533333333333,0.0543456018868539,-7.07766666666667,0.0756512465932393,-9.65630664604704,-6.1188122390162,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
41,"S29",6,-9.323,0.0225684145064144,-6.74183333333333,0.0566823997766895,-10.0637399186736,-5.75806188153009,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
42,"S30",6,-8.57,0.0282075639973866,-6.00566666666667,0.0481232214678573,-9.31117102017535,-4.96727561402827,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
43,"S31",6,-7.871,0.0338939522629037,-5.94383333333333,0.0551600197405492,-8.61257120603161,-4.90085458046631,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
44,"S32",6,-7.92933333333333,0.0261083213639721,-6.28133333333333,0.0481315327456382,-8.67087114283426,-5.26339526230719,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
45,"S33",6,-7.0895,0.0316930591770501,-5.54916666666667,0.0540730473012614,-7.83151862412412,-4.47690577325682,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
46,"S34",6,-6.70183333333333,0.0214994831979231,-6.046,0.0398078719183363,-7.44407390125851,-5.0106014634137,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
47,"S35",6,-6.91283333333333,0.042099419367862,-6.848,0.0621562547134238,-7.65495310123609,-5.87210554292892,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
48,"S36",6,-7.16283333333333,0.0239101326730832,-6.56116666666667,0.0495435274391227,-7.90480997324745,-5.56399072147304,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
49,"IAEA-603",5,3.12,0.0355119698130081,-3.4152,0.0383632636776383,2.37213631507556,-2.18461027589668,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
50,"TK-20",6,-7.7575,0.0229154242087435,-7.55516666666667,0.0421381985587635,-8.49913618613845,-6.63174016665775,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
51,"IAEA-CO-8",6,-4.90933333333333,0.0460642063983644,-22.438,0.0549806026400827,-5.6526001289371,-22.6187995574456,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
52,"S37",6,-6.78283333333333,0.0251904964443163,-6.5605,0.0472078736370675,-7.52502752779019,-5.56327459173114,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
53,"S38",6,-9.055,0.0364399048663229,-6.28816666666667,0.0635139967076374,-9.79589335187738,-5.27073559216175,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
54,"S39",6,-7.12,0.0288108775754343,-5.63766666666667,0.0387751352171867,-7.8620011625095,-4.5719719964951,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
55,"S40",6,-7.37166666666667,0.0297821721467353,-5.81833333333333,0.0573315891207554,-8.11352374700093,-4.76604315655215,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
56,"S41",6,-9.94833333333333,0.0440270119106189,-6.2945,0.0578462041393671,-10.688715241198,-5.27753882470988,-0.74607744762614,0.999427488045416,1.4839791659492,1.07419461286188
